,Unnamed: 0,Nose-Neck-RShoulder,Nose-Neck-LShoulder,Neck-RShoulder-RElbow,Neck-LShoulder-LElbow,RShoulder-RElbow-RWrist,LShoulder-LElbow-LWrist,RHip-RShoulder-RElbow,LHip-LShoulder-LElbow,MidHip-RHip-RShoulder,MidHip-LHip-LShoulder,MidHip-RHip-RKnee,MidHip-LHip-LKnee,RHip-RKnee-RAnkle,LHip-LKnee-LAnkle,RKnee-RAnkle-RBigToe,LKnee-LAnkle-LBigToe,MidHip-X,MidHip-Y
28,28,98.07790963555804,81.96017203165972,96.78109470259923,96.8483764472482,169.3843548470029,173.0700501876264,15.87523757351818,14.241086170978855,99.16368498935287,97.42429477910449,89.94434250478126,87.67915949704047,179.884341234387,177.72647088909702,179.55123817412456,158.1497878459307,226.74,193.011
129,129,88.48357000072158,86.19102167836485,137.07513438131247,139.818954253155,82.34875685229008,82.28085441791833,59.61505327551288,57.08570513291356,97.24938479557105,97.335918270944,87.58281748394924,85.37355889423033,175.418205786099,175.38404350539722,178.1925541251788,179.83234008947957,228.576,192.052
186,186,98.38320251273213,87.42300510536057,133.1304397906921,135.63153292868176,177.8857431398771,171.08823902806083,140.7046800007507,136.84596324557705,93.68913691138395,87.81128962365162,86.09993203383067,95.04089116079687,177.51570386497224,176.3060868865166,178.29692087166725,155.60428895482525,221.237,186.619
209,209,54.04080071523104,126.0138708135132,155.3295980795243,63.433902659056486,130.56425344011623,71.81260280759324,75.33736691128225,31.88705773493203,91.9607548674123,92.73512718769774,98.14502410608344,112.61343965192737,169.9840193339494,178.04503433516197,143.89125133871727,116.81443626612192,227.653,196.627
236,236,63.49254316353458,110.8985906356879,100.34225842622932,159.43458420649756,103.91491583902162,172.16311054867094,16.105755665475844,84.13829652634205,95.8538536036485,99.05739999999628,85.89681227527046,85.87891991463793,176.1356485663939,172.9825072807461,130.21031307835156,128.10507033901774,246.801,189.326
357,357,97.67362685948824,77.58033756845579,122.9615947670614,127.92910022907267,170.3059049822021,172.8221983089644,41.68886352733347,48.14315850629974,98.92758095019984,95.2947708624974,86.01517216579448,87.93305656616528,173.82906510593384,177.9475548045408,177.96072419717726,140.1481753362218,225.844,188.452
414,414,-1.0,-1.0,123.79056514015444,120.7632568431734,178.01928514267632,171.19300607294485,152.86388299304286,145.9190729081512,96.5437847601256,96.75254013769356,81.10853065126041,88.2000399412083,173.14133037178036,179.89035550710594,166.77537346560615,177.4734514535437,213.989,183.869
428,428,-1.0,-1.0,156.84385850588296,130.5359340433633,103.67166206329772,96.59605204127844,65.64901731004727,47.49830127256707,101.37718036459158,90.02150562490297,104.88383615602758,48.320459606104606,155.87842384083322,96.8726139686464,87.80745984123857,103.04174992297028,223.072,187.513
463,463,89.98159589131731,95.6233998654848,132.87526730412006,122.6221429696807,175.84872637793163,177.00078105561326,143.7207307655967,145.10789875695636,96.53126052058458,93.32778545915252,80.33629414351172,90.0254816961804,174.28403490883585,177.87994023319166,176.41706895903155,177.67553708895497,230.372,183.844
489,489,70.5066079870196,105.84421702701944,143.09402152397175,162.82509968808887,160.7446847455983,81.5365559762873,121.38185650478871,95.34522927623684,95.8814620922617,88.79707926162139,81.27992940154107,100.55470670380286,131.9080038516257,155.42071635316466,111.5566968814528,103.28684034454758,228.528,191.174
584,584,101.3135429405894,84.81494257363306,108.31363186600277,116.80428884867791,123.09608010623027,177.4277396301575,166.53444461364938,155.0875401751763,94.8975378720818,97.94391976077677,86.45792417636042,88.30855582142354,176.64625344408282,179.9380777894176,172.42821803876035,170.42745120702494,227.623,184.785
792,792,82.10985252326165,98.18698827951268,93.97198567712846,105.8290724885094,176.3665902189887,168.19066136946,13.50693472779741,17.98477561609594,86.43796942699043,92.30587845989666,95.64361172795935,89.93481748976656,175.04647586442866,177.41079365783665,127.0533331691676,140.03521044385656,238.605,202.131
883,883,81.49828877660933,92.08646781841188,130.21770812224187,123.16201476874872,95.1287137594684,98.69499609937614,50.05216770128551,45.76911571821171,100.19642443411372,95.81411469298608,85.15712770145598,89.95538265132427,179.25019848476782,179.79094669278336,120.12507743297536,119.58056876467802,239.538,199.373
989,989,63.25141029460151,117.793594745485,141.77958756218004,161.20562891744942,146.40807791738806,170.99613206314265,48.92648030367496,85.87153021578197,104.81028948664536,98.79851431648363,86.03882643113202,87.71173812481548,174.55406128317472,179.60857498510578,167.7065681319625,177.2693322689078,268.722,196.619
